ChineseName,EnglishName,kind,eat,species,Description1,Description2,img
姑获鸟,Gu-huo Bird,Evil,Dont eat human,Bird,姑获鸟能收入魂气，今人一云乳母鸟。言产妇死化作之。能取人之子以为已子。胸前有两乳，有小子之家则血点其衣以为志，今时人小儿衣不欲露者，为此也,Yingzhao is a horse-shaped human-faced tiger-winged bird-winged beast. It is a beast looking at the garden. It belongs to the Huaxia and Xirong tribes.,guhuoniao.jpg
英招,Ying-Zhao,Auspicious,Dont eat human,Terrestrial,英招为马身人面虎纹鸟翼兽，是看花园的神兽，属华夏族和西戎部落。,Yingzhao is a beast with tiger pattern  bird and wing on the horse's body and human face. It's a god beast to watch the garden. It belongs to the Chinese and Xirong tribes.,yingzhao.jpg
豪鱼,Hao fish,Auspicious,Dont eat human,Aquatic,又东十五里曰渠猪之山。其上多竹。渠猪之水出焉，而南流注于河。其中多豪鱼，其状如鲔，赤喙(赤)尾赤羽，可以已白癣,Shaped like a tuna  it has a red mouth  a red tail and red feathers. It is said that people can treat psoriasis by eating its meat,haoyu.jpg
窫窳,Ya-Yu,Evil,Do eat human,Terrestrial,窫窳 ，古代中国传说中神祇名。原为人首蛇身，后因危与贰负杀了窫窳，化为龙首猫身，居弱水中，在狌狌知人名之西，其状如龙首，食人。,"It's said that he was the God of heaven  but not the son of Zhu long. The son of Zhu long was a drum. He was honest and kind  but later killed by the god named ""danger"" (one of the twenty eighth nights  the image of bird head and human body  holding a wooden stick). The emperor couldn't bear to look at his sorrow  so he revived his son. Unexpectedly  after his resurrection  he became a kind of cruel and human eating man Monster.",yayu.jpg
絜钩,Jie-Gou,Evil,Dont eat human,Bird,又南五百里，曰䃌（yīn）山，南临䃌水，东望湖泽，有兽焉，其状如马，而羊目、四角、牛尾，其音如嗥狗，其名曰峳峳。见则其国多狡客。有鸟焉，其状如凫而鼠尾，善登木，其名曰絜钩，见则其国多疫。,"Five hundred miles to the south  it's a mountain. To the south  it's near the water. From the mountain to the East  you can see the lake. There is a kind of wild animal in the mountain. It looks like an ordinary horse  but it has sheep like eyes  four horns and cow like tail. It makes a sound like a dog barking  and its name is Yi. There will be many crafty politicians in any country. There is also a kind of bird in the mountain  which is like a wild duck but has the tail of a mouse. It is good at climbing trees. Its name is ""hook"". In which country  plague occurs many times.",jiegou.jpg
峳峳,You-You,Evil,Dont eat human,Terrestrial,峳峳长得像马，却长着四只角、羊一样的眼睛、牛一样的尾巴，声音如同狗叫，在哪个国家出现那个国家就会有很多奸猾之徒。,looks like a horse  but has four horns  sheep-like eyes  and a cow-like tail. The sound is like a barking dog. In any country  there will be many cunning people.,youyou.jpg
水马,Water Horse,Auspicious,Dont eat human,Terrestrial,又北二百五十里，曰求如之山，其上多銅，其下多玉，無草木。滑水出焉，而西流注于諸毗之水。其中多滑魚。其狀如鱓，赤背，其音如梧，食之已疣。其中多水馬，其狀如馬，文臂牛尾，其音如呼。,There are many water horses growing in the waterslide  and it is also called dragon spirit. Its appearance is similar to a normal horse  but there are patterns on the front legs  and a tail like an ox tail is dragged behind. The water horse is a beast of spirits and its appearance is Auspicious sign,shuima.jpg
妴胡,Yuan-Hu,Auspicious,Dont eat human,Terrestrial,又《東次三經》之首，曰尸胡之山，北望𦍲山，其上多金玉，其下多棘。有獸焉，其狀如麋而魚目，名曰妴胡，其鳴自訆。,"Also the head of the ""Eastern Three Classics""  said the mountain of corpse Hu  looking north 𦍲 mountain  there are many golden jade on its top  and many spines on its bottom. There is a beast Yan  whose shape is like a moose and a fish head  the name is Benghu  and its name is self-proclaimed.",yuanhu.jpg
薄鱼,Thin Fish,Evil,Dont eat human,Aquatic,薄鱼像鳣鱼，只有一只眼睛，叫声就像人呕吐一样，每当它一出现，天下就面临干旱。,The thin fish is like a bonito  with only one eye  and the sound is like vomiting. Whenever it appears  the world faces drought.,baoyu.jpg
诸怀,Zhu-Huai,Evil,Do eat human,Terrestrial,有兽焉，其状如牛而四角、人目、彘耳，其名曰诸怀，其音如鸣雁，是食人,There is a kind of wild animal in the mountain. Its shape is like cattle  four corners  human eyes and pig ears. Its name is gehuai  and its voice is like wild geese. It eats people.,zhuhuai.jpg
茈鱼,Ci Fish,Auspicious,Dont eat human,Aquatic,又南三百二十里，曰東始之山，上多蒼玉。有木焉，其狀如楊而赤理，其汁如血，不實，其名曰𦬊，可以服馬，泚水出焉，而東北流注于海，其中多美貝，多茈魚，其狀如鮒，一首而十身，其臭如蘪蕪，食之不䊧。,Another 320 miles to the south is Dongshi mountain The water from this mountain rises  then flows into the sea to the northeast. There are many beautiful shells in the water  as well as many minnow. The shape of the crucian carp looks like the general one  but it has one head and ten bodies. Its smell is similar to that of the kuiwu grass. People will not fart after eating it.,ciyu.jpg
足訾,Zu-Zi,Auspicious,Dont eat human,Terrestrial,又北二百里，曰 蔓联之山 ，其上无草木。有兽焉，其状如禺而有鬣，牛尾、文臂、马蹏，见人则呼，名曰足訾，其鸣自呼。,It looks like an ape  with a cow's tail  a horse's hoof and a mottled front leg. Call your name when you see someone.,zuzi.jpg
从从,Cong-Cong,Auspicious,Dont eat human,Terrestrial,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如雞而鼠毛，其名曰䖪鼠，見則其邑大旱。掛水出焉。而北流注于湖水。其中多箴魚，其狀如儵，其喙如箴，食之無疫疾。,Three hundred miles to the south  there is a mountain with a lot of metal minerals and jade. He has a lot of bluestones and Jasper under his hand. There is a wild animal in the mountain  whose shape is like a dog  six feet  his name is follower  and he calls his name. There is a bird in the mountain  whose shape is like chicken  mouse hair  and his name is mice. See that it is the drought in his fiefdom. The source of the hanging water. The water flows northward and pours into the lake. Among them  many needle fish  whose shape is like a bird  whose mouth is like a proverb  eating without infectious diseases.,congcong.jpg
